Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2016","2016","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2017","2017","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2018","2018","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2019","2019","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
"GT","Emissions totals","036","Australia","7273","Emissions (CO2)","6751","Forestland","2020","2020","3050","FAO TIER 1","kilotonnes","-1585.0912","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2000","2000","3050","FAO TIER 1","kilotonnes","1773.8759","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2001","2001","3050","FAO TIER 1","kilotonnes","2152.9346","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2002","2002","3050","FAO TIER 1","kilotonnes","1905.0845","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2003","2003","3050","FAO TIER 1","kilotonnes","539.2445","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2004","2004","3050","FAO TIER 1","kilotonnes","1288.6352","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2005","2005","3050","FAO TIER 1","kilotonnes","474.8455","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2006","2006","3050","FAO TIER 1","kilotonnes","1231.823","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2007","2007","3050","FAO TIER 1","kilotonnes","1140.578","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2008","2008","3050","FAO TIER 1","kilotonnes","599.9511","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2009","2009","3050","FAO TIER 1","kilotonnes","720.6292","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2010","2010","3050","FAO TIER 1","kilotonnes","337.5535","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2011","2011","3050","FAO TIER 1","kilotonnes","2195.8994","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2012","2012","3050","FAO TIER 1","kilotonnes","2153.0723","E","Estimated value",""
"GT","Emissions totals","036","Australia","7225","Emissions (CH4)","6795","Savanna fires","2013","2013","3050","FAO TIER 1","kilotonnes","558.4223","E","Estimated value",""
